"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"#Kurds with their small arms in #Kobane show #ISIS can be stopped, if only big powers step in would be easy.",FALSE,1,NA,2014-10-11 16:12:11,FALSE,NA,"520970123310821376",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RikDelhaas",1,FALSE,FALSE,NA,NA
"RT @CustosDivini: 'Sisters in arms': #Kurdish women fighters ready 'to send #ISIS to hell' http://t.co/CLIaQUfv0k http://t.co/m39eaYNUyo",FALSE,0,NA,2014-10-11 16:12:10,FALSE,NA,"520970121553010688",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","gmc1484",32,TRUE,FALSE,NA,NA
"RT @kurdistannews24: Breaking news: #YPG Kurdish forces killed #ISIS Top commander  Ebu Waleed Al Tunsi just few min ago in #kobane http://…",FALSE,0,NA,2014-10-11 16:12:09,FALSE,NA,"520970117199720448",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","saveusrepublic2",420,TRUE,FALSE,NA,NA
"How successful would #ISIS recruiters be in an area like #Ferguson? Asking for @TheRevAl and @RevJJackson",FALSE,0,NA,2014-10-11 16:12:09,FALSE,NA,"520970115303477248",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","marklindesr",1,FALSE,FALSE,NA,NA
"RT @MarkDonka: RT @TodGerst: @Victoriaokane The biggest threat to the Taliban / #ISIS is a girl with a book.
http://t.co/9U8qlj7l8O",FALSE,0,NA,2014-10-11 16:12:09,FALSE,NA,"520970115266125825",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RichardReese3",2,TRUE,FALSE,NA,NA
"RT @ferhansterk: This was again proved:Kurds will never give up:we are kobane,kobane is us #ISIS #Kobane #KobaneDireniyor http://t.co/Tc03x…",FALSE,0,NA,2014-10-11 16:12:07,FALSE,NA,"520970107355664384",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","groggydice",1,TRUE,FALSE,NA,NA
"RT @WilliamsJon: Blair's Chief of Staff says talk to #ISIS! ""We very rarely defeat terrorists &amp; nearly always end up talking to them."" http…",FALSE,0,NA,2014-10-11 16:12:06,FALSE,NA,"520970104519933952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","palm19730",22,TRUE,FALSE,NA,NA
"RT @Beebagr_Baluch: Large crowds outside #Parliament in #London as #Kurds protest against #ISIS &amp;rally in support of #Kobane http://t.co/pS…",FALSE,0,NA,2014-10-11 16:12:05,FALSE,NA,"520970100057604096",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CEMB_forum",10,TRUE,FALSE,NA,NA
"RT @curdistani: Pictures from Worldwide Anti #ISIS protests held by Kurds and friends today  http://t.co/Y1yA7qGMb6 #Twitterkurds @Shiyoki8…",FALSE,0,NA,2014-10-11 16:12:02,FALSE,NA,"520970087415939072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hakankurtcebe",42,TRUE,FALSE,NA,NA
"ISIS : A CIA Creation to Justify War Abroad and Repression at Home #isis #america http://t.co/bmKTjpQJVw",FALSE,0,NA,2014-10-11 16:12:01,FALSE,NA,"520970082596708352",NA,"<a href=""http://www.247.lc"" rel=""nofollow"">247NOW</a>","247now",0,FALSE,FALSE,NA,NA
"RT @jordy_my: En #Kobani, mujeres kurdas intentan detener el avance de #ISIS http://t.co/wSoewuGuIf",FALSE,0,NA,2014-10-11 16:12:00,FALSE,NA,"520970077462863872",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","javierflip",3,TRUE,FALSE,NA,NA
"This morning #CNN claims ""ISIS advancing on two FONTS"". It's happening folks. Save your serifs. #isis… http://t.co/YmIQ4TXKB8",FALSE,0,NA,2014-10-11 16:11:59,FALSE,NA,"520970073255604225",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","temiojo",0,FALSE,FALSE,NA,NA
"RT @RamiAlLolah: For those wondering where #Iraq gold gone in 2003.. Not to mention Oil also.. #ISIS #USA http://t.co/ChCnidH8Ud",FALSE,0,NA,2014-10-11 16:11:58,FALSE,NA,"520970070923952128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MusadiqZ",142,TRUE,FALSE,NA,NA
"RT @peter681950: Piet Hein Donner: Vraag moslim niet afstand te nemen van ISIS http://t.co/6xDu0q7d8v #ISIS via @telegraaf

 das die man di…",FALSE,0,NA,2014-10-11 16:11:56,FALSE,NA,"520970062778605568",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ingrid_kok",2,TRUE,FALSE,NA,NA
"RT @Sara__Firth: Large crowds outside #Parliament in #London as #Kurds protest against #ISIS &amp; rally in support of #Kobane http://t.co/Ioaz…",FALSE,0,NA,2014-10-11 16:11:55,FALSE,NA,"520970058101964800",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Stargazer_Boy",104,TRUE,FALSE,NA,NA
"RT @curdistani: Pictures from Worldwide Anti #ISIS protests held by Kurds and friends today  http://t.co/Y1yA7qGMb6 #Twitterkurds @Shiyoki8…",FALSE,0,NA,2014-10-11 16:11:54,FALSE,NA,"520970054566154240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hekimklc",42,TRUE,FALSE,NA,NA
"#ISIS hace el trabajo sucio de las democracias liberales asesinando el movimiento popular del #Kurdistan, la libertad resiste en #Kobane",FALSE,0,NA,2014-10-11 16:11:54,FALSE,NA,"520970053165260800",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Protocanibal",1,FALSE,FALSE,NA,NA
"RT @iGaza_free: #isis doesn't belong to the real Islam, obama kills one terrorism  to create another one hundred! http://t.co/e5xAYxFuIz",FALSE,0,NA,2014-10-11 16:11:54,FALSE,NA,"520970052627996672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wenar_alasd2014",6,TRUE,FALSE,NA,NA
"RT @AriBashur: #Turkey provides direct support to #ISIS says Egyptian security official. Events on ground and Biden seem to agree.
http://t…",FALSE,0,NA,2014-10-11 16:11:53,FALSE,NA,"520970048887091201",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","umittini21",8,TRUE,FALSE,NA,NA
"RT @SlemaniTimes: Turkish police attack civilian protestors in #Istanbul. 48 Kurds killed, 800+ arrested. Anti #ISIS protests continue. htt…",FALSE,0,NA,2014-10-11 16:11:53,FALSE,NA,"520970047180013568",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MNLS2",178,TRUE,FALSE,NA,NA
"RT @Gorran_Change: Martyred Iraqi journo Raad al Azaawi beheaded by #ISIS for refusing to peddle their lies #RIP #twitterkurds #Iraq http:/…",FALSE,0,NA,2014-10-11 16:11:52,FALSE,NA,"520970045514870785",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","antiiique",3,TRUE,FALSE,NA,NA
